text;label
GANANCIA DO DINHEIRO E MUITA E ELAE FALSAE AS PESSOAS COMO ELA E QUE VIGAM NA VIDA PODE IR PORQUE A MIM não ME INCOMODAGENTE cOMO ELAE 0 QUE A MAIS POR ISSO E QUE 0 MUNDO ESTA COMO ESTA.;1
Eu tambem tenho filhos na escola e tento educar os meus filhos da maneira mais correcta possível mas isso não me garante que quando estão no meio dos amigos não queiram armar em espertos e não cometam o mesmo erro. Eu fiz questão de mostrar o vídeo aos meus filhos como forma de aprendizagem para contar comigo para resolver se um dia forem eles a vítima e as consequências dessas atitudes estupidas que acabam sempre mal. Quem tem filhos não deve julgar a educação dada pelos pais porque um dia podem se ver envolvidos num problema idêntico...;0
Uma coisa é certa. está velha para caraças ! Bota mas é filtro nessa cara.sempre disfarça mais um bocado.. Não quero tar a ser mau..so não gosto dela nem com nem sem tinta na cara ! O sinismo continua la sempre!;1
Sem carater! Fraca! não sabes esperar a tua vez! Precisas de subir a todo o custo, nem que para isso passes por cima dos que te estenderam a mao! NAo tens perfil para fazer televisdo, nem para seres querida nesse meio, porque para se fazer televisdo, radio ou teatro tem de se amar, ter paixdo. Tu tens perfil para vendas, vendas de rua. não ha dinheiro que pague o que os portugueses precisam de ver em suas casas. Fica aqui a tua palavraavorita: "né"!;1
Existem muitos narcisistas perversos encobertos na nossa sociedade a destruírem pessoas, famílias e organizações e a sociedade desconhece. Ainda existe um longo caminho pela frente no que diz respeito a violência doméstica corporativa e emocional.;0
Vivemos num hospício.;0
Esta gaja não vale merda nenhuma.;1
Realmente é difícil de entender ou encontrar uma explicação seja de que índole for para que uma rede social como o Facebook se preocupe com mamilos ou material considerado sensível (moralismos) a ponto de o proibir / censurar e não haver uma denúncia formal a entidades competentes em casos de clara violação da lei, especialmente no tocante a crimes considerados públicos - uma vergonha.;0
Cada vez mais Portugal é um país de terceiro mundo;0
Nada faz sentido hoje em dia, infelizmente!;0
Quando se tem umas mamas novas. tem de se mostrar;1
Nunca gostei de si e sempre a achei uma falsa. Normalmente não me engano;1
Isto só pode ser brincadeira de mal gosto.;0
A justiça em Portugal é vergonhosa.;0
A vaca louca que berra , esta simplesmente horrivel , pirosa , ja se deita Cristina ate pelo cu, inveja de vacas loucas , nao tenho nem dela nem de ninguem , nao e de hoje que a acho horrivel , manipulatora , falsa ....;1
 Falta de coluna vertebral! Ganancia e falsidade!;1
Falando em bom português ,tem os colhoes de bater na namorada e filmar ,mas não os tem para assumir o que fez e decide fugir.;1
Pareces um trator a varrer tudo por onde passas... Ate o feijão-frade tem mais cara do que tu... O que vale é que o karma trata de ti... E vais berrar que nem uma cabra para o monte;1
Como se chega a este ponto? Que educação ou referências teve este tipo quando crescia??;0
Que esses burloes se fodam muito na prisão.;1
Este caramelo devia apanhar um susto e ficar com a cara pior que o que fez à rapariga. Cobarde!;1
Sentido era amarrar esse filho da puta a traseira de um carro e arrastalo até ele não gritar mais. Fácil o próximo iria pensar duas vezes;1
A culpa agora já não é do Costa pois não?;0
So mesmo em Portugal do típico país que roubas milhões e não se passa nada roubas uma galinha para comer e és condenado com uma pena de prisão.. Enfim triste país;0
Peixeira vaquita.;1
Eu sei que um camelo destes precisava, se a miúda fosse da minha família de uma coisa tenho certeza, ele não voltaria a fazer isto a mais ninguém, e mais não digo... ;1
Nada faz sentido há muito tempo!;0
Os ciganos precisam de apoio social!São vítimas da segregação em Portugal.;0
É verdade, covarde, era apanha-lo e dar-lhe uma sova como ele dá à namorada;1
Rui Pinto cometeu um erro, devia ter divulgado os e-mails dos clubes todos.;0
Tem que andar com a rata lubrificada para não criar blor;1
O ciume sexual estimula a xenofobia. Isto pode acontecer a qualquer um ou uma.;0
Está completamente certo.;0
Esta cristina na cama deve ser um cronho, que eu digo-vos uma coisa, avaliar pela pessoa que se vé na tv, na cama deve ser um trambolho..muita fava pouco vinho, vai te cronho,deves pensar que és a última bolacha do pacote, velha caduca.;1
Era apedrejá-lo até ao último suspiro!! ;1
És uma galinha a cantar não fale tanto. A sua maneira de falar inerva.;1
Primeiro escarrapacha onde vai, o que come, onde dorme, etc,etc.. para ja não falar da exposigaéo que a propria faz questao de alimentai .e depois 6 uma grande chatice.;1
Este mundo ja esta corrupto e um heroi como este não pode parar na cadeia. Tens o meu suporte Rui, avança rapaz... divulga TUDO que tens meu filho.;0
"tenho mamas e uma vagina" até parece que isso define uma mulher!! Só pela prosa aqui derramada, nota se bem o seu nível, a sua necessidade de atenção. Ser mulher não é só ter vagina. Os seus pais não lhe ensinaram nada, você não é nada, é um produto foleiro, banal, uma egocêntrica pindérica.;1
Nilton um camelo não tem culpa!!! Um Aborto como este, não merece um nome de um animal !!! Aliás, nem merecia existir!!!;1
Velha de merda so neste pais uma peixeirona vingativa a ganhar o que ganha portugal no seu melhor;1
Ainda bem que não apagou,vai preso e com provas do que fez,depois é enche-lo de porrada e quem sabe ter uns encontros amorosos com uns amigos.;1
Pura maldade! Pior quem  compactua com este animal!;0
Neste país completamente abandalhado já nada me espanta.;0
Maria 6 mulher, vendes tudo, a té a alma ao diabo por dinheiro;1
Ja diz o ditado...podes tirar as pessoas da merda mas nao podes tirar a merda das pessoas.;1
Tal como ja pude ver e ler, so tenho uma palavra, para esta senhora que eu admirava e que a partir de hoje vou deixar de admirar e de assistir. Ela é a personificagao em pessoa do que chamamos 0 beijo de Judas. O Daniel correu atras dela e fez tudo mas tudo para ue ela fosse para a Sic. Agora ela  mostrou a sua verdadeira cara, ao trair a Sic e as pessoas queapostaram tudo mas tudo nela. Ela ajudou efectivamente a alavancar as audiências da SIC e agora vem com a conversa de colocar a TVI no  adjectivo que lhe atribuo. E por isso que eu digo que a TV é so gente podre. ;1
Puta cabra de merda tu nem um homem consegues arranjar para te foder a cona. Puta cabra de merda.;1
Garanto que não volta a bater em mulher alguma... Vá não custa nada. Passem lá o nome do bicho. A malta trata do resto.;1
Calma, segundo o Cabrita vivemos no País mais seguro do mundo.;0
Esses não são condenados esta tudo bem!!!;0
És muito animal;1
Ordinária;1
Oferecida.;1
Ver videos de gatinhos só faz rir e é bom para a saúde.;0
Numa situação destas não sei se gritaria ou não, porque teria medo que caso oferecesse resistência, eles fizessem-me mal.;0
Não é camelo, é filho da puta mesmo cabrao;1
Este excremento escroto merece ir passar umas férias a Custóias. Para ver se recebe lá umas aulas de educação corporal levar um arreio de porrada todos os dias nos Cornos e ser enrabado! Filho da puta;1
O sonho de casar na igreja não se concretizou..... és uma puta.;1
Gajos que batem em mulheres ...;0
Pareces uma daquelas que trabalham na estrada;1
Vais pra praia mostrar o pito;1
Se políticos corruptos e criminosos não são condenados, porque haveria de ser o rapaz (camelo)?;0
Então as mulheres espanholas fazem muito assédio sexual e são conhecidas por isso. Vamos continuar com esta mistura de puritanismo sexual ciumento misturado com ódio aos homens. Ou vamos lutar pela velha liberdade sexual e pela velha liberdade de expressão?;0
Epa mas quem é que quer saber desta azeiteira? Cara de bimba essa € que ninguém lhe tira;1
Viva a multicultura da Índia! A do putedo, ai desculpe, brasil, não é melhor...;1
Era apedrejá-lo até ao último suspiro !! ;1
Nunca pensei que, a Cristina fosse tao materialista e tao sedenta de poder, até porque quando mudou para a SIC disse que nado foi pelo dinheiro.(balelas);1
Xula;1
Odinheiro esta sempre em primeiro lugar € pena pois a Sic deu Ihe o projeto ela usou e gostou e deitou fora Lamentavel como ensina desta forma ao filho que o dinheiro é mais importante. ;1
Sendo duas pessoas do mesmo tom de pele, a coisa demora a resolver.;0
Mudar mas não estragar a vida dos outros! Assim mostrou o que é verdade! Nem vale a pena vir com conversa para manipular o telespetador porque ja vimos como funciona! Saiu da Tvi pq nao deixavam fazer o que queria vai para a Sic sai pela mesma raz&o e coitadinha diz que é para salvar a casa que Ihe deu améao a Tvi, muitz conversa sO para parvos € que nao véem que o que falamzis alto é dinheiro e poder! Força Cristina mostrou o que étirou a mascara! ;1
Não ofenda o animal, porque o animal não faz muito menos filma.;0
Escreves muito mas não mostras quem és.;0
És um génio, o povo está contigo.;0
É o caminhar para o abismo( de várias maneiras);0
O fim do mundo ja chegou. O pior do homem esta ca fora já não á volta a dar.;0
E se calhar teve muitas visualizações... Chamar-lhe camelo é ser simpático;0
Plenamente de acordo Nilton. Não têm política nenhuma para além da ditadura que exercem ao punir as pessoas sem que tenham direito a resposta em sua defesa.;0
Muita coisa vai ter de mudar em Portugal relativamente a isto.;0
Mas se não fosse a divulgação, não teriamos conhecimento destas aberrações, que deverão levar este sujeito a ser castigado.;0
Há pessoas que dao dé... pena, nao ha dinheiro e poder que Ihes valha, tanta necessidade de "demonstracões", quando se nasce brejeira...nem carregada de ouro se Sai dessa pele;1
Quando colocarem a obrigatoriedade de registo nas redes sociais, telemóvel etc com o cartão de cidadão, antigamente nos telefones fixos era assim e não havia os problemas que existe hoje;0
A judas da malveira esta cada vez mais feia. Livra, parece uma osga.;1
Porque não identificam o menino?;0
Gostava de ti mas agora acho que estas vaidosa de mais e com nariz impinado.;1
E a polícia não fez nada?;0
Em relação ao vídeo é simplesmente o resultado da perda de valores familiares,  sociais que temos vindo a perder paulatinamente.;0
Onde um país consegue chegar... É um sentimento de impunidade brutal. Infelizmente a própria polícia, vê-se tanta vez travada por burocracias...;0
Ela subiu na vida usando o pulso a boca e a lingua e outras partes do corpo para alcançar os seus objectivos sem olhar a fins lucrativos.;1
Agora que a Espanha aprovou a lei do não é não e agravou ainda mais a lei do assedio sexual.Homem não tenhas vergonha de ires à policia dizer que foste vitima de assedio ou violencia domestica.;0
Quanto não dava para esse camelo ser meu vizinho ate porque aliviava.lhe o stress sou cada vez mais a favor das mulheres treinarem uma arte marcial acreditem da muito resultado pensem nisso.;1
A este animal era encher de marretadas nas mãos e nos joelhos…;1
Injusto o Rui Pinto estar preso enquanto há pedófilos a solta vergonha leis de merda.;0
Paulo quando Este tipo de pessoas gozam com quem ganha pouco. Ganhava um milhao de euros por ano e achava pouco. Quem merecia ganhar assim eram pessoas que salvam vidas. A gente que faz coisas Uteis para a sociedade e nao ganham isso em dez anos ;1
Como mãe, só tinhas um objectivo, era pedires desculpas públicas, dizeres que a tua filha esteve mal e não fazer dela a maior vitima da história.;0
Entreguem-no á família e que façam justiça a esse animal....;1
Os malucos andam à solta.;0
Quando aceitarmos situações destas acabou! Quando acharmos normais, acabou! Não podemos aceitar nem achar normal! Haja justiça, a vítima precisa de justiça. Inqualificável ;0
Não interessa pisar colegas da TVI e terem de ser despedidas depois de fazerem parte da estacdo e serem muito boas nos seus papeis? Onde as pessoas chegam para atingir os seus desejos . ATVI ficou desvalorizada com tudo o que se passou na "sombra " com a Senhora que ganha com os seus quereres mesmo pisando todos. A TVI traiu o pessoal da casa e 0 publico que para o futuro deixara de ver este canal! Ela ira “arrumar” a casa a Sua maneira e mandar a vontade e aos gritos. Felicidade para quem esta ai a trabalhar.;1
És um verdadeiro Monstro Covarde;1
